Formula,temperature(K),seebeck_coefficient(μV/K),electrical_conductivity(S/m),thermal_conductivity(W/mK),power_factor(W/mK2),ZT,reference
Cu3.00Sb0.93Ge0.07S4.00,300,175,20200,2.0387,0.000618625,0.091032275,10.1021/acs.jpcc.6b09379
Cu3.00Sb0.95Ge0.05S4.00,300,207.78,9368,2,0.00040444,0.060666037,10.1021/acs.jpcc.6b09379
Cu3.00Sb0.97Ge0.03S4.00,300,287,5000,1.918,0.000411845,0.064417883,10.1021/acs.jpcc.6b09379
Cu3.00Sb0.99Ge0.01S4.00,300,351.65,1580,1.9032,0.000195379,0.030797478,10.1021/acs.jpcc.6b09379
Cu3.00Sb0.90Ge0.10S4.00,300,150,28400,2.1,0.000639,0.091285714,10.1021/acs.jpcc.6b09379
Cu3.00Sb1.00S4.00,300,670.33,89.3,1.865,4.01E-05,0.006454628,10.1021/acs.jpcc.6b09379
Cu1.00Fe0.92In0.08S2.00,300,-382,1785,3.442,0.000260474,0.022702586,10.1021/acs.jpcc.6b10308
Cu1.00Fe0.96In0.04S2.00,300,-363.6,3488,4.2315,0.000461131,0.0325,10.1021/acs.jpcc.6b10308
Cu1.00Fe0.98In0.02S2.00,300,-358.2,4500,5.202,0.000577383,0.033297727,10.1021/acs.jpcc.6b10308
Cu1.00Fe1.00S2.00,300,-361.6,5270,8.425,0.000689077,0.02453685,10.1021/acs.jpcc.6b10308
Fe1.00Nb0.86Hf0.14Sb1.00,300,84.47,668992,7.339,0.004773379,0.195123816,10.1038/ncomms9144
Fe1.00Nb0.88Hf0.12Sb1.00,300,93.72,590700,8.32,0.005188377,0.1879,10.1038/ncomms9144
Fe1.00Nb0.92Hf0.08Sb1.00,300,116.26,345736,9.458,0.004673102,0.148226954,10.1038/ncomms9144
Fe1.00Nb0.92Zr0.08Sb1.00,300,122.816,330233,13.27,0.004981159,0.11261097,10.1038/ncomms9144
Fe1.00Nb0.90Zr0.10Sb1.00,300,107.524,397674,12.627,0.004597672,0.109234317,10.1038/ncomms9144
Eu1.00Zn0.50Cd0.52Sb2.00,300,172.5,31480,1.595,0.000936727,0.17618685,10.1039/B916346H
Eu1.00Zn0.70Cd0.32Sb2.00,300,148,57000,1.838,0.001248528,0.203785854,10.1039/B916346H
Eu1.00Zn0.90Cd0.12Sb2.00,300,125,100500,2.29,0.001570312,0.205717795,10.1039/B916346H
Eu1.00Cd2.00Sb2.00,300,227.2,11111,1.412,0.000573548,0.121858649,10.1039/B916346H
Eu1.00Zn2.00Sb2.00,300,119,118055,2.606,0.001671777,0.192453207,10.1039/B916346H
Pb1.00Te1.00Ag2.00,300,-92.04,145950,0.901,0.001236395,0.4127,10.1039/c1jm13888j
Pb1.00Te1.00Ag2.00,300,-102.5,95750,0.976,0.001005973,0.4196,10.1039/c1jm13888j
Bi0.98Na0.01Cu1.00Se1.00O1.00,300,253.5,12500,0.81,0.000803278,0.297510417,10.1039/c3ta14532h
Fe1.00Nb0.80Ti0.20Sb1.00,300,72,460000,7.5,0.00238464,0.0953856,10.1039/c4ee03042g
Fe1.00Nb0.88Ti0.12Sb1.00,300,103,430000,11.3,0.00456187,0.121111593,10.1039/c4ee03042g
Fe1.00Nb0.92Ti0.08Sb1.00,300,120,400000,13,0.00576,0.132923077,10.1039/c4ee03042g
Fe1.00Nb0.96Ti0.04Sb1.00,300,153,160000,15,0.00374544,0.0749088,10.1039/c4ee03042g
Ag1.00Sn15.00Bi1.00Te17.00,300,65.86,204810,2.6,0.000888371,0.102504402,10.1039/c4ta05530f
Ag1.00Sn25.00Bi1.00Te27.00,300,46,254808,3.41,0.000539174,0.047434639,10.1039/c4ta05530f
Ag1.00Sn5.00Bi1.00Te7.00,300,112,100000,1.61,0.0012544,0.23373913,10.1039/c4ta05530f
Sn1.00Te1.00,300,34.86,777885,7.95,0.000945301,0.03567174,10.1039/c4ta05530f
Zn0.85Cd0.15Sc0.02O1.03,300,-49.4,19430,7.58,4.74E-05,0.00187663,10.1039/c6ta03126a
Zn0.88Cd0.12Sc0.02O1.03,300,-73.5,42857,6.75,0.000231524,0.010289966,10.1039/c6ta03126a
Zn0.95Cd0.05Sc0.02O1.03,300,-60,18000,11.5,6.48E-05,0.001690435,10.1039/c6ta03126a
Zn0.90Cd0.10Sc0.01O1.01,300,-77,56145,8.44,0.000332884,0.011832359,10.1039/c6ta03126a
Zn0.90Cd0.10Sc0.01O1.01,300,-73.6,62187,8.17,0.000336864,0.012369565,10.1039/c6ta03126a
Zn0.90Cd0.10Sc0.02O1.03,300,-70.6,59430,7.83,0.000296221,0.011349445,10.1039/c6ta03126a
Zn0.90Cd0.10Sc0.03O1.04,300,-76.3,55100,7.91,0.000320775,0.012165934,10.1039/c6ta03126a
Zn0.90Cd0.10Sc0.04O1.06,300,-84.3,46667,8,0.000331639,0.012436446,10.1039/c6ta03126a
Zn1.00Sc0.02O1.03,300,-165,2800,52.167,7.62E-05,0.000438381,10.1039/c6ta03126a
Sn0.80Ge0.20Mn0.18Te1.00,300,60.3,169300,2.134,0.00061559,0.0855,10.1039/c7cp04931e
Bi1.20Sb0.80Se2.76Cl0.24,300,-89,39724,0.72,0.000314654,0.131105752,10.1039/d0ra04065g
Bi1.20Sb0.80Se2.82Cl0.18,300,-92,36263,0.83,0.00030693,0.110938566,10.1039/d0ra04065g
Bi1.20Sb0.80Se2.88Cl0.12,300,-97,29670,0.82,0.000279165,0.102133548,10.1039/d0ra04065g
Bi1.00Sb1.00Se2.76Cl0.24,300,-132,13260,0.58,0.000231042,0.119504607,10.1039/d0ra04065g
Bi1.00Sb1.00Se2.82Cl0.18,300,-125,18010,0.62,0.000281406,0.136164315,10.1039/d0ra04065g
Bi1.00Sb1.00Se2.88Cl0.12,300,-165,7735,0.56,0.000210585,0.112813594,10.1039/d0ra04065g
Ba1.00Cu3.96S3.00,300,55,26856,0.6848,8.12E-05,0.03558969,10.1063/1.5099291
Ba1.00Cu4.00S3.00,300,65.4,15464,0.7,6.61E-05,0.028346572,10.1063/1.5099291
Ti1.00S2.00,300,-251,58824,67.8,0.003705971,0.016398101,10.1103/PhysRevB.64.241104
Sn1.00S1.00,300,211.3,69230,3.279,0.00309096,0.303,10.1126/science.aax5123
Sn1.00S0.88Se0.12,300,184,102724,2.37,0.003477824,0.440230854,10.1126/science.aax5123
Sn1.00S0.91Se0.09,300,203.5,128084,2.3,0.005304247,0.6855,10.1126/science.aax5123
Sn1.00S0.94Se0.06,300,218,88600,2.55,0.004210626,0.495367812,10.1126/science.aax5123
Sn1.00S0.97Se0.03,300,215,73400,2.92,0.003392915,0.348587158,10.1126/science.aax5123
La1.00Co0.50Ni0.50Fe0.50O3.00,300,109,1060,0.07,1.26E-05,0.052,dx.doi.org/10.1021/jp3021408
La1.00Co0.50Fe0.50O3.00,300,655.45,5.3,0.22,2.28E-06,0.0021,dx.doi.org/10.1021/jp3021408
La1.00Co0.75Fe0.25O3.00,300,628.7,21.5,0.31,8.50E-06,0.0071,dx.doi.org/10.1021/jp3021408
La1.00Co0.75Ni0.25O3.00,300,114.46,4340,0.33,5.69E-05,0.049,dx.doi.org/10.1021/jp3021408
La1.00Co0.80Ni0.50Fe0.50O3.00,300,234,1380,0.1568,7.56E-05,0.1577,dx.doi.org/10.1021/jp3021408
La1.00Co0.90Ni0.50Fe0.50O3.00,300,327.5,828.6,0.48,8.89E-05,0.05554533,dx.doi.org/10.1021/jp3021408
La1.00Co0.95Fe0.05O3.00,300,614.5,45,0.291,1.70E-05,0.0262,dx.doi.org/10.1021/jp3021408
La1.00Co0.95Ni0.05O3.00,300,302.4,1496,0.551,0.000136803,0.072,dx.doi.org/10.1021/jp3021408
La1.00Co0.90Fe0.10O3.00,300,598.8,39.4,0.2568,1.41E-05,0.0193,dx.doi.org/10.1021/jp3021408
La1.00Co0.90Ni0.10O3.00,300,265,1518,0.425,0.000106602,0.072,dx.doi.org/10.1021/jp3021408
La1.00Co1.00O3.00,300,600,64,0.434,2.30E-05,0.0152,dx.doi.org/10.1021/jp3021408
Cr1.00O0.09N0.90,300,-48.65,35660,2.75,8.44E-05,0.00920737,https://doi.org/10.1016/j.actamat.2010.10.046
Sn1.00S1.00,300,525,0.1,1.41,2.76E-08,5.86E-06,https://doi.org/10.1016/j.jmat.2019.12.003
Mg2.16Si0.40Sn0.60Bi0.03,300,-120.35,203876,2.765,0.002952965,0.320394028,https://doi.org/10.1016/j.jssc.2013.04.041
Mg2.16Si0.40Sn0.60Bi0.01,300,-136,177000,2.682,0.003285,0.366195973,https://doi.org/10.1016/j.jssc.2013.04.041
Mg2.16Si0.40Sn0.60Bi0.02,300,-122,185000,2.77,0.00275354,0.298217329,https://doi.org/10.1016/j.jssc.2013.04.041
Mg2.16Si0.40Sn0.60Bi0.01,300,-176.84,75000,2.2634,0.002345429,0.310872438,https://doi.org/10.1016/j.jssc.2013.04.041
Mg2.16Si0.40Sn0.60Bi0.01,300,-155.44,127519,2.546,0.003081062,0.363047398,https://doi.org/10.1016/j.jssc.2013.04.041
Cu2.70Ag0.30Er1.00Te3.00,300,41.4,271000,2.35,0.000464483,0.059295723,https://doi.org/10.1016/j.mtphys.2020.100180
Cu2.90Ag0.10Er1.00Te3.00,300,41.7,233000,2.26,0.000405161,0.053782483,https://doi.org/10.1016/j.mtphys.2020.100180
Cu3.00Er1.00Te3.00,300,39.3,293000,2.56,0.000452536,0.053031512,https://doi.org/10.1016/j.mtphys.2020.100180
Ag1.00Bi0.94Pb0.06Se2.12,300,302,4080,0.6,0.000372112,0.18605616,https://doi.org/10.1021/acs.chemmater.0c00481
Ag1.00Bi0.95Pb0.05Se2.12,300,329,2735,0.57,0.000296039,0.155810071,https://doi.org/10.1021/acs.chemmater.0c00481
Ag1.00Bi0.96Pb0.04Se2.12,300,377.3,1560,0.5477,0.000222074,0.121640087,https://doi.org/10.1021/acs.chemmater.0c00481
Ag1.00Bi0.97Pb0.03Se2.12,300,421.85,930,0.517,0.0001655,0.09603505,https://doi.org/10.1021/acs.chemmater.0c00481
Ag1.00Bi0.98Pb0.02Se2.12,300,484.2,471.2,0.504,0.000110473,0.065757542,https://doi.org/10.1021/acs.chemmater.0c00481
Ag1.00Bi0.99Pb0.01Se2.12,300,565.13,142.4,0.556,4.55E-05,0.024538792,https://doi.org/10.1021/acs.chemmater.0c00481
Ag1.00Bi1.00Se2.12,300,636.84,44.89,0.6394,1.82E-05,0.008541987,https://doi.org/10.1021/acs.chemmater.0c00481
Yb13.43Ce0.44Mn1.07Sb11.07,300,28.2,43750,0.72,3.48E-05,0.014496562,https://doi.org/10.1021/acs.chemmater.0c03043
Yb13.44Ce0.40Mn1.09Sb11.07,300,44.13,36727,0.75,7.15E-05,0.0286097,https://doi.org/10.1021/acs.chemmater.0c03043
Yb13.49Ce0.39Mn1.05Sb11.08,300,40,43723,0.7688,7.00E-05,0.027298439,https://doi.org/10.1021/acs.chemmater.0c03043
Yb13.60Ce0.36Mn0.99Sb11.05,300,31.25,49029,0.8571,4.79E-05,0.016758797,https://doi.org/10.1021/acs.chemmater.0c03043
Sn0.96Pb0.01Cd0.03Se1.00,300,314.57,2286,1.016,0.000226209,0.066794142,https://doi.org/10.1021/acs.chemmater.0c03657
Sn0.96Pb0.01Cd0.04Se1.00,300,313.58,2508,0.8845,0.000246618,0.083646478,https://doi.org/10.1021/acs.chemmater.0c03657
Sn0.97Pb0.01Cd0.01Se1.00,300,312.9,1587,1.2373,0.000155377,0.037673355,https://doi.org/10.1021/acs.chemmater.0c03657
Sn0.97Pb0.01Cd0.03Se1.00,300,314.24,2095,1.1304,0.000206874,0.054902999,https://doi.org/10.1021/acs.chemmater.0c03657
Sn1.00Se1.00,300,332.4,1174,1.4,0.000126,0.027796067,https://doi.org/10.1021/acs.chemmater.0c03657
Cu1.55S1.00,300,8.3,539423,3.8425,3.72E-05,0.002901303,https://doi.org/10.1021/acs.chemmater.1c01856
Cu1.50S1.00,300,10.4,571905,4.37,6.19E-05,0.004246493,https://doi.org/10.1021/acs.chemmater.1c01856
Cu1.60S1.00,300,8.454,387019,3.4075,2.77E-05,0.002435242,https://doi.org/10.1021/acs.chemmater.1c01856
Yb10.00Ca3.00Ba1.00Mg1.00Sb11.00,300,50,19826,0.5296,4.96E-05,0.02807685,https://doi.org/10.1021/acs.chemmater.1c02584
Yb7.00Ca6.00Ba1.00Mg1.00Sb11.00,300,59.94,10942,0.528,3.93E-05,0.022336623,https://doi.org/10.1021/acs.chemmater.1c02584
Yb8.00Ca5.00Ba1.00Mg1.00Sb11.00,300,63.5,14150,0.529,5.71E-05,0.03,https://doi.org/10.1021/acs.chemmater.1c02584
Yb9.00Ca4.00Ba1.00Mg1.00Sb11.00,300,59,17350,0.503,6.04E-05,0.036021083,https://doi.org/10.1021/acs.chemmater.1c02584
Cu5.13Sn1.87S6.65Cl0.35,300,47.73,139506,2.325,0.000317816,0.041008516,https://doi.org/10.1021/acs.chemmater.1c03434
Cu5.13Sn1.87S7.00,300,21.31,400000,6.5625,0.000181646,0.008303837,https://doi.org/10.1021/acs.chemmater.1c03434
Cu5.00Sn2.00S6.65Cl0.35,300,41.477,168657,2.8375,0.000290148,0.030676403,https://doi.org/10.1021/acs.chemmater.1c03434
Cu5.00Sn2.00S7.00,300,30.4,337313,5.5125,0.000311731,0.016964962,https://doi.org/10.1021/acs.chemmater.1c03434
Ba7.97Ga15.95Sn30.05,300,315.4,14140,0.987208124,0.001406607,0.42745,https://doi.org/10.1021/acs.chemmater.5b00025
Ba8.01Ga15.83Zn0.02Sn30.15,300,411.46,5190,0.863,0.000878664,0.305445028,https://doi.org/10.1021/acs.chemmater.5b00025
Ba8.01Ga15.88Zn0.01Sn30.11,300,368.9,7591,0.948321308,0.001033038,0.3268,https://doi.org/10.1021/acs.chemmater.5b00025
Ba8.01Ga15.89Zn0.01Sn30.10,300,335.6,14596,0.9896,0.001643909,0.498355582,https://doi.org/10.1021/acs.chemmater.5b00025
Ba8.00Ga15.88Zn0.01Sn30.12,300,320.4,16750,1.001645056,0.001719491,0.515,https://doi.org/10.1021/acs.chemmater.5b00025
Ba0.50Cr5.00Se8.00,300,227.55,372,1.090701525,1.93E-05,0.005298,https://doi.org/10.1021/acs.chemmater.5b02933
Ge0.55Pb0.45Te1.00,300,50,75949,2.506,0.000189873,0.022730148,https://doi.org/10.1021/acs.chemmater.6b02772
Ge0.55Pb0.45Te0.20Se0.80,300,384.375,2850,0.8045,3.24E-05,0.01,https://doi.org/10.1021/acs.chemmater.6b02772
Ge0.55Pb0.45Te0.30Se0.70,300,258.13,4955,0.7882,0.000428,0.162902817,https://doi.org/10.1021/acs.chemmater.6b02772
Ge0.55Pb0.45Te0.40Se0.60,300,237.5,8088,0.908,0.000456214,0.150731415,https://doi.org/10.1021/acs.chemmater.6b02772
Ge0.55Pb0.45Te0.50Se0.50,300,220.5,10377,0.668,0.000504532,0.25,https://doi.org/10.1021/acs.chemmater.6b02772
Ge0.55Pb0.45Te0.80Se0.20,300,82.61,37975,1.028,0.000259157,0.1,https://doi.org/10.1021/acs.chemmater.6b02772
Mg3.07Sb1.50Bi0.44Se0.06,300,-296.45,6769,0.825,0.000594877,0.216319031,https://doi.org/10.1021/acs.chemmater.7b01746
Mg3.07Sb1.50Bi0.45Se0.05,300,-279.24,7900,0.8736,0.000616002,0.211539259,https://doi.org/10.1021/acs.chemmater.7b01746
Mg3.07Sb1.50Bi0.46Se0.04,300,-281.52,7346,0.7403,0.000582196,0.235929875,https://doi.org/10.1021/acs.chemmater.7b01746
Mg3.07Sb1.50Bi0.47Se0.03,300,-280.98,7561,0.7764,0.000596939,0.230656545,https://doi.org/10.1021/acs.chemmater.7b01746
Mg3.07Sb1.50Bi0.48Se0.02,300,-275.82,11040,0.7972,0.000839886,0.316063646,https://doi.org/10.1021/acs.chemmater.7b01746
Ag2.00Se0.50Te0.50,300,-90.7,61743,0.61,0.000507928,0.24980074,https://doi.org/10.1021/acs.inorgchem.1c01563
Ag2.00Se0.60Te0.40,300,-107,75500,0.67,0.0008644,0.387044552,https://doi.org/10.1021/acs.inorgchem.1c01563
Ag2.00Se0.80Te0.20,300,-126.55,90640,0.75,0.001451591,0.580636305,https://doi.org/10.1021/acs.inorgchem.1c01563
Ag2.00Se0.90Te0.10,300,-137.8,90000,0.79,0.001708996,0.648985671,https://doi.org/10.1021/acs.inorgchem.1c01563
Cu2.08Sn0.93S3.00,300,35.04,356436,4.33,0.000437633,0.030320972,https://doi.org/10.1021/acs.inorgchem.1c02105
Cu22.00Sn10.00S32.00,300,44.628,246575,3.514,0.000491093,0.041925996,https://doi.org/10.1021/acs.inorgchem.1c02105
Cu22.00Sn9.25Sb0.75S32.00,300,62.79,171429,2.86,0.000675873,0.070895795,https://doi.org/10.1021/acs.inorgchem.1c02105
Cu22.00Sn9.00Sb1.00S32.00,300,72.46,103152,2.8,0.000541595,0.058027991,https://doi.org/10.1021/acs.inorgchem.1c02105
Ag0.01Cr1.99Se3.00,300,88.86,39607,1.635,0.000312741,0.057383636,https://doi.org/10.1021/acs.inorgchem.8b01704
Ag0.02Cr1.98Se3.00,300,85.43,37643,1.558,0.000274729,0.052900386,https://doi.org/10.1021/acs.inorgchem.8b01704
Ag0.03Cr1.97Se3.00,300,82,39393,1.534,0.000264879,0.051801538,https://doi.org/10.1021/acs.inorgchem.8b01704
Ag0.04Cr1.96Se3.00,300,80,38107,1.5175,0.000243885,0.048214458,https://doi.org/10.1021/acs.inorgchem.8b01704
Cr1.00Se3.00,300,89.43,40679,1.8033,0.000325339,0.054124015,https://doi.org/10.1021/acs.inorgchem.8b01704
Ag1.00Bi0.85Sb0.15Se2.00,300,555.85,2.16,0.4212,6.67E-07,0.000475337,https://doi.org/10.1021/acs.inorgchem.9b00874
Ag1.00Bi0.95Sb0.05Se2.00,300,-666.67,2.88,0.4878,1.28E-06,0.000787216,https://doi.org/10.1021/acs.inorgchem.9b00874
Ag1.00Bi0.90Sb0.10Se2.00,300,133,2.2,0.4635,3.89E-08,2.52E-05,https://doi.org/10.1021/acs.inorgchem.9b00874
Ag1.00Bi1.00Se2.00,300,-526.04,6.47,0.5295,1.79E-06,0.001014372,https://doi.org/10.1021/acs.inorgchem.9b00874
Cu0.98Pd0.02Fe1.00S2.00,300,-306.87,9305,7.386,0.000876244,0.035590755,https://doi.org/10.1021/acs.jpcc.0c06490
Cu0.99Pd0.01Fe1.00S2.00,300,-404.5,4217,7.84,0.000689987,0.026402548,https://doi.org/10.1021/acs.jpcc.0c06490
Cu0.99Pd0.01Fe1.00S2.00,300,-396,5233,9.2,0.000820618,0.026759287,https://doi.org/10.1021/acs.jpcc.0c06490
Cu0.90Pd0.10Fe1.00S2.00,300,-168,27384,5.227,0.000772886,0.044359251,https://doi.org/10.1021/acs.jpcc.0c06490
Cu1.02Fe0.98S2.00,300,-534.4,115.48,11.02,3.30E-05,0.000897799,https://doi.org/10.1021/acs.jpcc.0c06490
Co9.00S8.00,300,-19.2,1269362,10,0.000467938,0.014038128,https://doi.org/10.1021/acs.jpcc.0c11601
Co1.00S2.00,300,-40.2,667884,11.2,0.00133,0.028910552,https://doi.org/10.1021/acs.jpcc.0c11601
Sn1.00Te0.15Ag1.00Sb1.00Se2.00,300,60.9,161200,2.19,0.00059786,0.081898654,https://doi.org/10.1021/acs.jpcc.9b03329
Sn1.00Te0.10Ag1.00Sb1.00Se2.00,300,53.2,206711,2.445,0.000585042,0.071784263,https://doi.org/10.1021/acs.jpcc.9b03329
Sn1.00Te0.25Ag1.00Sb1.00Se2.00,300,65.8,133500,1.854,0.000578007,0.094,https://doi.org/10.1021/acs.jpcc.9b03329
Sn1.00Te0.20Ag1.00Sb1.00Se2.00,300,64,125000,1.285,0.00056,0.131,https://doi.org/10.1021/acs.jpcc.9b03329
Mg0.95Li0.05Ge0.90Si0.10,300,239,13615,4.943,0.000777702,0.047200227,https://doi.org/10.1021/acsaem.1c00172
Mg0.97Li0.03Ge0.90Si0.10,300,173.49,44769,4.918,0.001347492,0.082197577,https://doi.org/10.1021/acsaem.1c00172
Mg0.98Li0.02Ge0.80Si0.20,300,326.5,2308,4.3019,0.000246038,0.01715786,https://doi.org/10.1021/acsaem.1c00172
Mg0.98Li0.02Ge0.90Si0.10,300,229,13400,5.292,0.000702709,0.039836134,https://doi.org/10.1021/acsaem.1c00172
Bi0.23Sb0.77Te3.00,300,229,54942,0.885,0.002881213,0.976682516,https://doi.org/10.1021/acsaem.1c01830
Cu2.20Sn0.80Sb0.20Se3.20,300,46.86,217574,3.4865,0.000477762,0.04110959,https://doi.org/10.1021/acsaem.1c01155
Cu2.50Sn0.50Sb0.50Se3.50,300,28,532716,5.31,0.000417649,0.023596008,https://doi.org/10.1021/acsaem.1c01155
Cu2.80Sn0.20Sb0.80Se3.80,300,36,429021,5.74,0.000556011,0.02905982,https://doi.org/10.1021/acsaem.1c01155
Cu2.00Sn1.00Se3.00,300,181.14,1718,2.9054,5.64E-05,0.005820593,https://doi.org/10.1021/acsaem.1c01155
Cu3.00Sb1.00Se4.00,300,380,4462,3.385,0.000644313,0.057103055,https://doi.org/10.1021/acsaem.1c01155
Cu5.00Sn1.00Sb1.00Se6.30,300,37.47,185345,2.7414,0.000260225,0.028477188,https://doi.org/10.1021/acsaem.1c01155
Cu5.00Sn1.00Sb1.00Se6.58,300,30.34,336207,4.1709,0.000309484,0.022260216,https://doi.org/10.1021/acsaem.1c01155
Cu5.00Sn1.00Sb1.00Se6.79,300,30.34,443478,4.724,0.000408228,0.025924751,https://doi.org/10.1021/acsaem.1c01155
Cu5.00Sn1.00Sb1.00Se7.00,300,28.62,527826,5.267,0.000432345,0.024625665,https://doi.org/10.1021/acsaem.1c01155
Er0.01Bi0.23Sb0.77Te3.00,300,241.24,57647,0.862,0.003354867,1.167587239,https://doi.org/10.1021/acsaem.1c01830
Er0.02Bi0.23Sb0.77Te3.00,300,225,60650,0.813,0.003070406,1.132991236,https://doi.org/10.1021/acsaem.1c01830
Er0.03Bi0.23Sb0.77Te3.00,300,216.5,62300,0.84,0.002920141,1.05,https://doi.org/10.1021/acsaem.1c01830
Ag0.01Cu1.97S0.50Se0.50,300,120,5147,0.4522,7.41E-05,0.049170809,https://doi.org/10.1021/acsaem.1c03064
Ag0.02Cu1.96S0.50Se0.50,300,141.15,4191,0.4457,8.35E-05,0.056202812,https://doi.org/10.1021/acsaem.1c03064
Ag0.03Cu1.95S0.50Se0.50,300,144.59,3235,0.313,6.76E-05,0.06482279,https://doi.org/10.1021/acsaem.1c03064
Cu1.95S0.50Se0.50,300,62.63,33861,0.613,0.00013282,0.0650018,https://doi.org/10.1021/acsaem.1c03064
Cu1.98S0.50Se0.50,300,99.39,15891,0.5022,0.000156977,0.093773722,https://doi.org/10.1021/acsaem.1c03064
Cu1.99S0.50Se0.50,300,153.94,3564,0.413,8.45E-05,0.061349618,https://doi.org/10.1021/acsaem.1c03064
Cu2.00S0.50Se0.50,300,172.12,1485,0.4478,4.40E-05,0.029473132,https://doi.org/10.1021/acsaem.1c03064
Cu1.85Ag0.15Sn1.00Se3.00,300,249,1070,0.9841,6.63E-05,0.020223881,https://doi.org/10.1021/acsami.1c17460
Cu1.88Ag0.12Sn1.00Se3.00,300,173.74,3184,1.1016,9.61E-05,0.026173995,https://doi.org/10.1021/acsami.1c17460
Cu1.93Ag0.07Sn1.00Se3.00,300,100,13364,1.6095,0.00013364,0.024909599,https://doi.org/10.1021/acsami.1c17460
Cu1.90Ag0.10Sn1.00Se3.00,300,116.67,5143,1.1873,7.00E-05,0.017688691,https://doi.org/10.1021/acsami.1c17460
Cu2.00Sn1.00Se3.00,300,96.4,19970,2.327,0.00018558,0.023925279,https://doi.org/10.1021/acsami.1c17460
Sn0.93Pb0.06Zn0.01Se1.00,300,473.39,1500,0.854,0.000336147,0.134,https://doi.org/10.1021/acsami.1c20549
Sn0.96Pb0.03Zn0.01Se1.00,300,443.66,3578,1.1234,0.000704273,0.18807355,https://doi.org/10.1021/acsami.1c20549
Sn0.97Pb0.02Zn0.01Se1.00,300,428.87,4233,1.2792,0.000778573,0.182592279,https://doi.org/10.1021/acsami.1c20549
Sn0.98Pb0.01Zn0.01Se1.00,300,435.21,5000,1.2338,0.000947039,0.230273639,https://doi.org/10.1021/acsami.1c20549
Sn0.90Pb0.09Zn0.01Se1.00,300,507.09,274,1.2662,7.05E-05,0.0166932,https://doi.org/10.1021/acsami.1c20549
Sn1.00Se1.00,300,497.14,1207,2.3323,0.000298308,0.03837086,https://doi.org/10.1021/acsami.1c20549
Cu5.00Sn2.00Se7.00,300,21.3,662800,5.28,0.000300706,0.017085553,https://doi.org/10.1021/cm501899q
Mg1.00Ag1.00Sb1.00,300,172.18,49818,1.0656,0.001476902,0.415794498,https://doi.org/10.1021/cm5041826
Mg1.00Ag1.00Sb0.98In0.01,300,148.9,90185,1.4246,0.001999511,0.421067789,https://doi.org/10.1021/cm5041826
Mg1.00Ag1.00Sb0.98In0.02,300,133.45,102583,1.4262,0.0021986,0.4589,https://doi.org/10.1021/cm5041826
